token,lemma
libris,liber4
librorum,liber4
libros,liber4
librum,liber4
liebe,liebe
lig,lig
lindau,lindau
lipsicus,lipsicus
literaria,littera
literariis,littera
literario,littera
literas,littera
literis,littera
litterales,littera
liure,liure
lobliche,löblich
locupletissimis,locuples
locupletissimo,locuples
locupletissimus,locuples
lomeilles,lomeilles
louis,louis
louuerture,ouuerture
lubecense,lubeck
lucam,luca
ludouici,ludouicus
ludouico,ludouicus
ludwig,ludwig
ludwige,ludwig
lugdunensis,lugdunensis
lugduno,lugdunensis
luneburgensibus,luneburgica
luneburgicae,luneburgica
luste,luste
lustiger,lustiger
luther,luther
lutheranarum,lutheranus
lutheranisme,lutheranisme
lutheranismo,lutheranismo
lutheri,luther
lutherus,luther
lxui,lxui
lyserianae,lyserianae
löbliche,löblich
löwensteinischer,löwenstein
löwensteinischer,löwensteinischer
maburgische,marburg
magdalena,magdalena
magdeburg,magdeburg
magdeburgische,magdeburg
magistratuum,magister
mahometicus,mahometicus
maiestat,maiestas
maiestatt,maiestas
maiestetae,maiestas
mainz,mainz
malta,malta
manife,manife
manumiss,manumissio
manuscript,manuscript
manuscriptorum,manuscript
manutentione,manutentio
marchiae,marchia
margarethe,margarethe
mariae,mariae
marianisch,marianisch
marianischteutsche,marianisch teutsch
mark,mark
markgräfi,markgraf
marpurgische,marburg
marquardi,marquardi
martini,martinus
materia,materia
materiarum,materia
materias,materia
materium,materium
mathesilani,mathesilani
matrimonialia,matrimonialia
matrimonialium,matrimonialia
matthaei,Matthaeus
matthaeo,Matthaeus
matthaeum,Matthaeus
mauri,maurus
mauros,maurus
mausoleum,mausoleum
maxi,maxi
maximè,maximè
may,may
mayntz,mainz
mayntzische,mainz
mccc,mccc
md,md
mdlu,mdlu
medailles,medailles
medica,medicus
medicae,medicus
medicam,medicus
medicinische,medicinisch
medico,medicus
medicochirurgica,medicus chirurgicus
mediolanensis,mediolanensis
mediæ,mediæ
megapolitanorum,megapolitanorum
mehrere,mehr
memorialibus,memorial
mercantilibus,mercantilibus
merycologia,merycologia
messeigneurs,messeigneurs
methodes,methodes
methodica,methodicus
methodus,methodus
mg,mg
microcosmi,microcosmos
militaer,militaris
militaersache,militaersache
militaires,militaris
militaires,militaires
militaris,militaris
militaris,militaris
minores,minor
mintzenburg,münzenberg
mirandulae,mirandulae
miscellanea,miscellaneum
miscellanearum,miscellanearum
miscellanearum,miscellanearum
misenensis,misenensis
mithridatio,mithridatio
mittelbar,mittelbar
mnemonicum,mnemonicus
moabiti,moabites
moabitis,moabites
moderni,modernus
moderno,modernus
modernorum,modernus
moguntiaca,mainz
moguntiacarum,mainz
moguntiae,mainz
moguntina,mainz
moguntini,mainz
mohamedis,mohamedis
monacho,monachus
monasterii,monasterium
monasteriologia,monasteriologia
monasteriorum,monasteriorum
monasteriorum,monasterium
monats,monat
monatsgespräche,monat gespräch
monialium,monialium
monum,monum
morhofi,morhofi
moritze,moritz
moschi,moschi
moscouiticarum,moscouiticus
moses,moses
mt,mt
mumiae,mumiae
munster,munster
musaeum,musaeum
mutter,mutter
mystagoga,mystagoga
mythologiae,mythologia
mäyntzische,mainz
münz,münz
münzbelustigung,münz belustigung
münzwissenschaft,münz wissenschaft
nachbarliches,nachbarlich
nassau,nassau
nassouia,nassau
naturali,natura
naturalis,natura
naxera,naxera
ne,
neapolitanae,neapolitanus
neapolitani,neapolitanus
neb,neben
nebenstunde,nebenstunde
necno,nec non
negotiations,negotiations
neomagenses,neomagenses
neuaugirte,neuaugirte
neues,neu
neueste,neu
neus,neu
newe,neu
niceni,niceni
nichtige,nichtige
nicol,nicol
niederlegung,niederlegung
nitori,nitor
nomocano,nomocano
nordisch,nordisch
notis,nota
notita,notita
notita,nota
notitia,nota
nou,nou
noua,novus
nouae,novus
nouet,nouet
noui,novus
nouo,novus
nouum,novus
noñulla,nonnulla
nullitatibus,nullitatibus
numaria,numaria
numismatum,numisma
nunc,nunc
nécessaire,nécessaire
nöthig,nötig
nürmberg,nürnberg
nürnbergische,nürnberg
nützlich,nützlich
nützlicherachtete,nützlich erachtet
ober,ober
oberbayer,oberbayer
oberherrlich,oberherrlich
oberste,obserst
obseruatio,obseruatio
obseruationes,obseruatio
obseruationibus,obseruatio
obseruationum,obseruatio
ocaeres,ocaeres
occidentalium,occidentalis
odhelii,odhelii
offenbahrung,offenbahrung
officiers,officiers
officinalis,officinalis
omnes,omne
omnibus,omne
omnium,omne
onomastico,onomastico
opera,opus1
operae,opus1
operi,opus1
operis,opus1
operum,opus1
opitii,opitii
opus,opus1
orde,orde
ordens,orden
ordinem,ordo
ordnung,ordnung
ordnunge,ordnung
ordung,ordnung
ordunge,ordnung
organizatio,organization
original,original
originalia,original
origines,origo1
orthodoxia,orthodoxia
orts,ort
ortsgebürg,ortsgebürg
osnabrugensi,osnabrugensi
osnabrugensi,osnabrugensis
osnabrugensis,osnabrugensis
ostendum,ostendum
others,others
ouina,ouina
oxoniensi,oxoniensis
oxoniensia,oxoniensis
oxoniensis,oxoniensis
paix,paix
palaeologi,palaeologus
palatina,palatina
palatinae,palatina
palatini,palatina
palatino,palatina
palatinum,palatina
pamer,pamer
pandect,pandectae
pandectae,pandectae
pandectas,pandectae
pandecte,pandectae
pandectæ,pandectae
pannonia,pannonia
pannoniae,pannonia
pannonica,pannonia
papa,papa
papalis,papa
papam,papa
papatus,papa
papebrochiana,Papebrochianus
papista,papa
paraenetica,paraenetica
paratitla,paratitla
parisienses,parisiensis
parthenius,parthenius
partis,pars
parvus,parvus
passagiis,passagiis
patauino,patauino
pathologia,pathologia
patriarchio,patriarchium
pausaniae,pausanias
pedemontanae,pedemontanus
pedemontani,pedemontanus
peinlich,peinlich
peinliche,peinlich
penitentiales,penitentialis
pere,pere
perelegans,perelego
perfecutorum,persecutor
peribologia,peribologia
periocunda,periocunda
peripateticae,peripateticus
perpetuite,perpetuite
perrino,perrino
persecutorum,persequi
persicarum,persia
persoenliches,persoenlich
persone,persona
perspicillum,perspicillum
perusinarum,perusina
pestilentiale,pestilentialis
petr,petrus
petri,petrus
pfaltz,pfalz
pfaltzgraue,pfalzgraf
pfalz,pfalz
pflichte,pflichte
pharmaceutica,pharmaceuticus
pharmacopoea,pharmacopoea
phasis,phasis
philadelphica,philadelphica
philippi,philipp
philipps,philipp
philologica,philologicus
philologicae,philologicus
philologicum,philologicus
photii,photius
piccolominei,piccolomini
pietiste,pietisticus
pietistica,pietisticus
pileo,pileo
platonis,plato
platyne,platyne
platz,platz
plenissimu,plenus
plinianae,plinius
plutarchi,plutarchus
points,points
policey,polizei
politiano,politiano
politica,politicus
politicum,politicus
politische,politische
politischer,politischer
polizey,polizei
polizeyordnung,polizeyordnung
polizeysache,polizeysache
polnisch,polonia
polonia,polonia
poloniae,polonia
poloniarum,polonia
polonicis,polonia
polonicus,polonia
polybii,polybius
polyhistor,polyhistor
polymnemo,polymnemo
pontificat,pontificat
pontificiae,pontificiae
pontificu,pontificum
posau,posau
postill,postilla
postilla,postilla
postillae,postilla
postregals,postregal
potenze,potenze
pour,pour
practica,practicus
practicae,practicus
practicam,practicus
practicant,practicus
practicarum,practicus
practicis,practicus
practicum,practicus
practicus,practicus
praecationes,praecatio
praecipuorum,praecipuus
praeeminentia,praeeminentia
praelatorum,praelatus
praelectiones,praelectio
praenobilem,praenobilis
praerogatiue,praerogatiue
praeseruatione,praeseruatio
praestantia,praesto2
praktische,praktisch
praxeos,praxis
praxi,praxis
praxim,praxis
praxis,praxis
predigens,predigt
prediger,predigt
predigte,predigt
preißgow,breisgau
prerogatiues,prerogatiues
presche,presche
presence,presence
preseruatif,preseruatif
preterea,preterea
preusische,Preussen
preussische,Preussen
preyßgaw,Breisgau
primogeniturae,primogenitura
primùm,primùm
principalement,principalement
principaux,principaux
priuata,priuatus
priuati,priuatus
priuatrecht,priuatrecht
priuatum,priuatus
priuilegie,privilegium
priuilegie,priuilegie
problematicum,problematicus
process,process
process,processus2
processus,process
processus,processus2
procez,processus2
procez,procez
prodromus,prodromus
prohibitorum,prohibitorum
prolium,prolium
prophylaxis,prophylaxis
proposees,proposees
protestans,protestans
protestante,protestante
prouinciae,provincialis
prouinciarum,provincialis
prussiae,preussen
prussiae,preussen
prüfung,prüfung
publica,publicum
publica,publicus
publicae,publicus
publicarum,publicus
publici,publicum
publici,publicus
publicis,publicus
publicum,publicus
punctata,punctatus
puncte,punct
pyrrhi,pyrrhi
pythagorica,pythagoricus
quamplurimis,quamplurimis
quamplurimorum,quamplurimorum
quator,quator
quator,quator
quatre,quatre
quelques,quelques
quietistarum,quietistus
quodammodo,quodam modo
quotidia,quotidianus
quotquot,quotquot
rabbinismus,rabbinismus
raimundo,raimundo
raphaellis,raphaellis
rath,rat
raths,rat
rationalia,ratio
rationalis,ratio
rationarium,ratio
ratisbonensia,ratisbon
rats,rat
re,res
reale,reale
realis,realis
rebuffo,audomari_rebuffo
rebuspublicis,respublica
recensir,recensir
receptarum,receptarum
recessus,recessus2
receßibus,recessus
receßibus,recessus2
rechshofrath,Reichshofrat
rechshofrath,reich hof rat
recht,recht
rechte,recht
rechtliche,recht
rechtlicher,recht
rechts,recht
rechts,recht
rechtsfälle,recht fall
recognitae,recognitus
recogniti,recognitus
recognitus,recognitus
red,red
rediuiuus,redivivus
rediuiuus,rediuiuus
refluxu,refluxus
reformandi,reformatio
reformantionis,reformatio
reformatio,reformatio
reformirte,reformatio
regalie,regal
regals,regal
regensburg,regensburg
regenspurgische,regensburg
regi,rex
regiement,regiement
regierungs,regierung
regierungsblatt,regierung blatt
regierungsrechte,regierung recht
regierungssache,regierung sache
regiments,regiments
regis,rex
register,register
reguliers,reguliers
rei,res
reiche,reich
reichs,reich
reichsabschiede,reich abschied
reichsarchiu,reich archiv
reichsarchius,reich archiv
reichscammergerichtliche,reich cammergericht
reichsfama,reich fama
reichsfreyunmittelbare,reich frei unmittelbar
reichsfürstlich,reich fürst
reichsfürstlichlandesherrliche,reich fürst land herr
reichsglieder,reich glieder
reichslehenbare,reich lehen
reichsprocess,reich process
reichsrechtswege,reich rechtswege
reichsrechtswege,reich recht weg
reichsritterschaft,reich ritterschaft
reichssatzunge,reich satzung
reichsschlüsse,reich schlüsse
reichsstadt,reich stadt
reichsstaedtische,reich stand
reichsstaende,reich stand
reichsstaendische,reich stand
reichsstande,reich stand
reichsstatt,reich staat
reichstag,reich tag
reichstage,reich tag
reichstags,reich tag
reichstagsgeschäffte,reich tag geschäft
reichstagshandlunge,reich tag handlung
reichsuicarie,reich uicarius
reichsztaeg,reich tag
reichsztäg,reich tag
reichßtag,reich tag
reinhardi,reinhardus
reipublicae,respublica
religions,religion
religionsuerfassung,religion uerfassung
religiosae,religio
remarques,remarques
renum,renum
renunciatio,renunciatio
repetitiones,repetitio
reponse,reponse
republica,respublica
repurg,repurg
repurgatum,repurgare
res,res
rescript,rescript
rescripte,rescript
resolutionum,resolutio
respondorum,responsum
responsa,responsum
responses,response
responsis,responsum
responsorum,responsum
responsum,responsum
respublica,respublica
reuerendissimi,reuerendus
reuidirte,reuidirt
reuisae,reuisus
reuisio,reuisio
rhei,rhein
rhythmus,rhythmus
richs,reich
ritter,ritter
ritterliche,ritterlich
ritterliche,ritter
ritterorde,ritterorden
ritterschafft,ritter
ritterschafft,ritterschaft
ritterschaft,ritter
ritterschaft,ritterschaft
roem,roma
roemische,roma
roma,roma
romaine,romaine
romana,roma
romanae,roma
romanarum,romanus
romanarum,romanus
romani,roma
romanis,romanus
romano,romanus
romanorum,roma
romanus,romanus
romanus,romanus
romanæ,roma
rome,roma
romische,roma
rosencrantzes,rosencrantz
rottirung,rottirung
rottweil,rottweil
roy,roy
rs,rs
rulandt,rulandt
rutgeri,rutgeri
ruth,Ruth
ryssel,ryssel
rö,roma
röm,roma
römer,roma
römisch,roma
römische,roma
rübenzahl,rübenzahl
sache,sache
sacra,sacer
sacras,sacer
sacrement,sacrement
sacri,sacer
sacris,sacer
sacrorum,sacer
saettigkeit,saettigkeit
saetzunge,saetzung
saetzunge,satzung
saint,saint
sainte,sainte
salernitano,salernitano
salica,salica
salomo,salomo
samlung,sammlung
sammlung,sammlung
sampt,sammt
samuelis,Samuel
sanctiss,sanctus
saponisi,saponisi
satzunge,satzung
saxoniae,saxonia
saxonicae,saxonicus
saxonicam,saxonicus
saxonicarum,saxonicus
saxonico,saxonicus
saxonum,saxonicus
schatz,schatz
schau,schau
schauplatz,schau platz
schisme,schisme
schlaf,schlaf
schlesische,schlessisch
schleßische,schlessisch
schluß,schluss
schlüsse,schluss
schlüssel,schlüssel
schmalkaldische,schmalkaldische
schmidslaug,schmidtslaug
schmidt,schmidt
schmidtslaug,schmidtslaug
scholiis,scholium
schonburg,schonburg
schreibart,schreibart
schreibkammer,schreibkammer
schrifft,schrift
schrift,schrift
schrifte,schrift
schriftliche,schriftliche
schriftliche,schrift
schriftsam,schrift
schriftsam,schriftsam
schroederiana,Schroeder
schuldwese,schuldwese
schullehrer,schullehrer
schuman,schuman
schwartzburg,schwartzburg
sclopetorum,sclopetorum
scripta,scriptus
scriptis,scriptus
scriptorum,scriptor
scrutinium,scrutinium
sechzig,sechzig
secrètes,secrètes
secund,secundus
seel,seel
selecta,selectus
selecta,selecta
selectae,selectus
selecti,selectus
selectis,selectus
selectissimarum,selectissimus
selectissimarum,selectus
selectissimis,selectus
selectissimis,selectissimus
selectorum,selectus
selectum,selectus
selectus,selectus
selectus,selectus
semestrium,semestrium
semicenturia,semicenturia
senckenbergiana,senckenbergiana
sendschreibe,sendschreibe
senensis,senensis
sentiment,sentiment
sepulchorum,sepulchorum
serechtsame,gerechtsame
serenissimum,serenissimum
ses,ses
sexagintae,sexagintae
sigea,sigea
signifactione,signifactio
silbers,silbers
socinorum,socinus
solemnia,solemnis
solemnis,solemnis
solennibus,solemnis
soliloquia,soliloquia
solms,solms
solmsische,solms
sophicus,sophicus
spasmodica,spasmodica
speyer,speyer
sphinx,sphinx
spicilegia,spicilegia
spiera,spiera
spiritualia,spiritualia
spo,spo
spraach,Sprache
sprach,sprache
sr,sacer romanus imperium
sri,sacer romanus imperium
staats,staat
staatsbetrachtunge,staat betrachtung
staatscanzley,staat kanzlei
staatsclecher,staatsclecher
staatsconsilia,staat consilium
staatskanzley,staat kanzlei
staatsrecht,staat recht
staatsuerfassung,staat verfassung
stadt,stadt
staedtische,stadt
staende,stand
staendische,stand
stamm,stamm
stammmutter,stamm mutter
stande,stand
standt,stand
stato,status
statu,status
statum,status
status,status
statuta,statutum
statute,statutum
statutum,statutum
statuum,status
stendt,stand
steuer,steuer
steuersache,steuer sache
strix,strix
stunde,stunde
sturm,sturm
stände,stand
ständt,stand
stättigkeit,stättigkeit
subcisiuarum,subcisiuarum
subditorum,subditus
subseciuorum,subseciuorum
substitut,substitut
suecicis,suecicis
sueo,sueus
sueogothici,sueogothici
suetonis,suetonis
sueuiae,sueuici
sueuici,sueuici
summaria,summaria
summariis,summaria
summarischer,summarisch
summorúm,summa
supplement,supplement
sur,sur
suummae,summa
sylloge,sylloge
syluii,silvio
symboli,symbolus
symbolicae,symbolus
symphorematii,symphoremata
symphorematis,symphoremata
synedriis,synedriis
synopses,synopsis
synopsis,synopsis
syntagma,syntagma
syriacus,syriacus
sächsische,sachsisch
sämptliche,samtlich
tabaci,tabaci
tactica,tactica
tage,tag
tags,tag
tartarico,tartaricus
testaments,testament
teutonici,teutonicus
teutonico,teutonicus
teutsch,deutsch
teutsche,deutsch
teutscher,deutsch
teutsches,deutsch
teutschland,Deutschland
textui,textus
thaler,thaler
thalia,thalia
thanatologia,thanatologia
thate,tat
theasurus,thesaurus
theater,theater
theil,Teil
theile,Teil
theologiae,theologia
theologici,theologia
theologicorum,theologia
theologicorum,theologia
theologicum,theologia
theologicum,theologia
theoretico,theoria
theoretische,theoria
theoria,theoria
theoria,theoria
theoria,theoria
theorica,theoria
theorico,theoria
theyl,Teil
tholosanae,Tolosa
tholosani,Tolosa
tholose,Tolosa
thoma,Thoma
thomae,Thoma
thuanus,thuanus
thucydidis,thucydides
thuringiae,thuringia
thüringische,thuringia
tiraquelli,tiraquelli
tit,titulus
titul,titul
todt,tod
toledo,toledo
toletani,toletani
tombeau,tombeau
tomi,tomus
topographia,topographia
torah,torah
touchant,touchant
tous,tous
tractat,tractatus
tractatum,tractatus
tractatus,tractatus
traite,traite
traittez,traittez
transmissorum,transmissorum
transubstantationis,transubstantatio
treuirensium,treuirensium
tridentini,tridentinus
triparta,tripartus
tripartitum,tripartus
tripertita,tripertita
turcarum,turcus
turcica,turcus
tu¨binge,tübingen
tyronibus,tyronis
täglicher,täglich
türcke,turcus
türke,turcus
ua,ua
uaiorum,varius1
ualasci,ualasci
uaria,varius1
uariae,varius1
uariarum,varius1
uarior,varius1
uariorum,varius1
uberbliebene,überbleiben
ueber,über
ueberhaupt,überhaupt
uebrige,übrig
uenatorioforestalis,uenatorioforestalis
uenetae,uenetae
uenetorum,uenetae
uerb,verbum
uerbal,uerbal
uerbesserter,uerbessert
uerdeutscht,uerdeutscht
uerfassung,verfassung
uerflossene,uerflossene
uergleiche,uergleich
uerite,ueritas
uermoegens,uermoegens
ueronense,ueronense
uerordnunge,Verordnung
uerständniß,uerständniß
uersuch,uersuch
uertiginosus,uertiginosus
uerwaltung,uerwaltung
uerwerd,uerwerd
uetere,vetus
ueteris,vetus
ueters,ueters
ueterum,vetus
uetus,vetus
uffstand,Aufstand
ui,vis
uicarie,uicarius
uierdte,uierdte
uigelii,uigelii
uii,uii
uindicates,uindicates
uindobonensis,vienna
uiridarium,uiridarium
uisitationum,uisitatio
uismariense,uismariense
uita,uita
uitae,uita
uitriarii,uitriarii
umbriae,umbria
uncatholische,uncatholisch
uncialaeum,uncialaeum
und,und
undergerichts,untergericht
undergerichtsordnung,untergerichtsordnung
une,une
unfugs,unfug
ungebunde,ungebunden
ungewißheit,ungewißheit
uniuersal,uniuersal
uniuersalibus,uniuersal
uniuersalregister,uniuersal register
uniuerselle,uniuerselle
uniuersitatum,universitas
uniuersita¨te,universitas
uniuersität,uniuersität
unmittelbare,unmittelbar
unnd,und
unparteyische,unparteyisch
untergerichtsordnung,untergerichtsordnung
unterhaltung,unterhaltung
unterredung,unterredung
unterricht,unterricht
unterricht,unterricht
untertane,untertane
unterthane,untertane
untterrichtung,untterrichtung
unuorgreifliches,unuorgreifliches
unà,una
uocabularium,uocabularius
uocabularius,uocabularius
uolaterrani,uolaterrani
uolker,uölker
uolkerrechts,uölker recht
uolkommene,vollkommen
uollkomme,vollkommen
uollkommene,vollkommen
uollkommenes,vollkommen
uollstaendige,vollständig
uollständige,vollständig
uollständiger,vollständig
uolume,uolumen
uorraths,uorraths
uorrechte,uorrechte
uorstelle,uorstelle
uorzüglich,vorzuglich
uo¨lckerrecht,uölker recht
urpsrung,ursprung
ursache,ursache
ursprung,ursprung
ursprunge,ursprung
urthail,Urteil
urtheil,Urteil
usu,usus
usufructu,usufructus
usus,usus
usuuenientia,usuuenientia
utriusque,utriusque
utroque,utriusque
utrumque,utriusque
wachsthum,wachsthum
wahl,wahl
wahre,wahre
waldschmids,waldschmid
walkenredense,walkenredense
wappenbuch,wappenbuch
warzburg,warzburg
wassers,wassers
wechsel,wechsel
wechselordnunge,wechselordnunge
wechselordnunge,wechsel ordnung
wechselschrifft,wechsel schrift
wechselschrifft,wechselschrift
weekely,weekely
weitberühmte,weitberühmt
weltiche,weltich
weltlicher,weltlicher
weltlicher,weltich
werra,werra
wertheim,wertheim
westmonasteriensem,westmonasteriensem
westphale,Westphalia
westphalicae,Westphalia
westphälische,Westphalia
wetzflar,Wetzlar
wetzlariense,Wetzlar
wetzlarische,Wetzlar
wichtige,wichtig
wichtigste,wichtig
wiclef,wiclef
wiclefianisme,wiclef
wider,wider
widerlegung,widerlegung
wiederlegung,wiederlegung
wiesbade,Wiesbaden
wild,wild
wildbanns,wild bann
wilhelmi,wilhelmus
windeike,windeike
wirtembergensis,wirtembergensis
wirtenbergica,wirtembergensis
wirtenbergico,wirtembergensis
witikindi,witikindus
wolmeinendes,wolmeinend
wori,wori
worin,worin
wormbs,worms
wucherliche,wucherlich
wöchentliche,wöchentlich
würtzburg,würtzburg
wütende,wütend
xii,xii
xiii,xiii
xiu,xiu
xxui,xxui
zeite,zeit
zubegriff,zubegriff
zubrodt,zubrodt
zugefalle,zugefalle
zusaetze,zusatz
zusammenrottirung,zusammenrottirung
zwantzig,zwantzig
zwee,zwei
zwey,zwei
zweye,zwei
ächte,acht
ärgerliche,ärgerlich
übliche,üblich
